地區,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任
臺北市第01選區,謝維洲,1,男,1983,民主進步黨,21687,7.09%,*,否
,賴素如,2,女,1964,無黨籍及未經政黨推薦,7226,2.36%, ,是
,孫士堅,3,男,1959,無黨籍及未經政黨推薦,1406,0.45%, ,否
,潘懷宗,4,男,1961,新黨,25188,8.23%,*,是
,林瑞圖,5,男,1956,無黨籍及未經政黨推薦,20065,6.56%,*,是
,周佳君,6,女,1967,人民民主陣線,1685,0.55%, ,否
,王奕凱,7,男,1985,無黨籍及未經政黨推薦,8551,2.79%, ,否
,王英文,8,男,1971,無黨籍及未經政黨推薦,517,0.16%, ,否
,陳重文,9,男,1977,中國國民黨,13299,4.35%,*,否
,黃平洋,10,男,1962,中國國民黨,11451,3.74%, ,是
,王小玉,11,女,1952,親民黨,2214,0.72%, ,否
,楊靜宇,12,男,1961,新黨,10538,3.44%, ,否
,汪志冰,13,女,1957,中國國民黨,18021,5.89%,*,是
,林世宗,14,男,1959,民主進步黨,12334,4.03%,*,是
,王威中,15,男,1983,民主進步黨,20649,6.75%,*,否
,吳思瑤,16,女,1974,民主進步黨,20302,6.64%,*,是
,陳建銘,17,男,1961,台灣團結聯盟,20952,6.85%,*,是
,何志偉,18,男,1982,民主進步黨,26283,8.59%,*,是
,陳政忠,19,男,1955,無黨籍及未經政黨推薦,16623,5.43%,*,是
,陳慈慧,20,女,1983,民主進步黨,22688,7.42%,*,否
,吳碧珠,21,女,1949,中國國民黨,24030,7.86%,*,是
臺北市第02選區,許明偉,1,男,1954,無黨籍及未經政黨推薦,497,0.22%, ,否
,陳義洲,2,男,1952,中國國民黨,17693,8.08%,*,是
,趙家蓉,3,女,1962,新黨,9910,4.52%, ,否
,黃子哲,4,男,1974,中國國民黨,9380,4.28%, ,否
,黃珊珊,5,女,1969,親民黨,28020,12.80%,*,是
,王孝維,6,男,1961,民主進步黨,17401,7.94%,*,是
,李彥秀,7,女,1971,中國國民黨,25057,11.44%,*,是
,陳嘉霖,8,男,1978,台灣團結聯盟,2466,1.12%, ,否
,余筱菁,9,女,1980,樹黨,3527,1.61%, ,否
,闕枚莎,10,女,1972,中國國民黨,19956,9.11%,*,是
,江志銘,11,男,1962,民主進步黨,14592,6.66%,*,是
,吳世正,12,男,1963,中國國民黨,18223,8.32%,*,是
,李建昌,13,男,1962,民主進步黨,18052,8.24%,*,是
,高嘉瑜,14,女,1980,民主進步黨,34117,15.58%,*,是
臺北市第03選區,陳永德,1,男,1965,中國國民黨,13825,5.74%,*,是
,秦慧珠,2,女,1955,中國國民黨,20632,8.57%,*,是
,楊世光,3,男,1976,新黨,11639,4.83%, ,否
,許家蓓,4,女,1977,民主進步黨,21444,8.91%,*,否
,王博玉,5,男,1968,無黨籍及未經政黨推薦,380,0.15%, ,否
,戴錫欽,6,男,1966,中國國民黨,13862,5.75%,*,是
,陳孋輝,7,女,1962,中國國民黨,14307,5.94%,*,是
,洪士奇,8,男,1962,親民黨,10679,4.43%, ,否
,潘翰疆,9,男,1967,樹黨,4387,1.82%, ,否
,許淑華,10,女,1973,民主進步黨,27332,11.35%,*,是
,李卓翰,11,男,1969,台灣團結聯盟,3484,1.44%, ,否
,王鴻薇,12,女,1964,中國國民黨,18472,7.67%,*,是
,洪健益,13,男,1970,民主進步黨,20319,8.44%,*,是
,楊實秋,14,男,1958,中國國民黨,9297,3.86%, ,是
,張茂楠,15,男,1960,民主進步黨,21329,8.86%,*,是
,徐世勲,16,男,1976,無黨籍及未經政黨推薦,19037,7.90%,*,否
,王正德,17,男,1956,中國國民黨,10247,4.25%, ,是
臺北市第04選區,陳炳甫,1,男,1971,中國國民黨,19808,10.02%,*,否
,鍾君竺,2,女,1977,人民民主陣線,1957,0.99%, ,否
,黃向羣,3,男,1970,民主進步黨,16248,8.21%,*,否
,林婕麗,4,女,1966,新黨,5856,2.96%, ,否
,梁文傑,5,男,1971,民主進步黨,26155,13.23%,*,是
,顏若芳,6,女,1985,民主進步黨,26079,13.19%,*,否
,葉林傳,7,男,1969,中國國民黨,21531,10.89%,*,是
,王世堅,8,男,1960,民主進步黨,25102,12.69%,*,是
,林國成,9,男,1957,親民黨,13125,6.63%,*,是
,王麗珠,10,女,1957,中國國民黨,12717,6.43%, ,否
,簡聖哲,11,男,1982,台灣團結聯盟,6961,3.52%, ,否
,鄭惠齡,12,女,1986,樹黨,4401,2.22%, ,否
,林亭君,13,女,1984,中國國民黨,17103,8.65%,*,否
,楊鎮雄,14,男,1950,無黨籍及未經政黨推薦,629,0.31%, ,否
臺北市第05選區,徐立信,1,男,1975,無黨籍及未經政黨推薦,9057,4.65%, ,否
,黄文章,2,男,1953,華聲黨,207,0.10%, ,否
,康明道,3,男,1971,無黨籍及未經政黨推薦,342,0.17%, ,否
,吳志剛,4,男,1971,中國國民黨,21444,11.01%,*,是
,謝建平,5,男,1965,台灣團結聯盟,4149,2.13%, ,否
,童仲彥,6,男,1973,民主進步黨,19546,10.04%,*,是
,周威佑,7,男,1962,民主進步黨,20663,10.61%,*,是
,劉耀仁,8,男,1968,民主進步黨,17303,8.89%,*,是
,應曉薇,9,女,1964,中國國民黨,21092,10.83%,*,是
,林佳諭,10,女,1987,樹黨,9965,5.12%, ,否
,郭昭巖,11,女,1969,中國國民黨,21782,11.19%,*,是
,鍾小平,12,男,1962,中國國民黨,14987,7.70%,*,是
,顏聖冠,13,女,1968,民主進步黨,23499,12.07%,*,是
,陳蓋武,14,男,1974,親民黨,2887,1.48%, ,否
,張榮法,15,男,1972,新黨,7696,3.95%, ,否
臺北市第06選區,陳彥伯,1,男,1969,新黨,15302,4.96%,*,是
,孫仲康,2,男,1964,無黨籍及未經政黨推薦,772,0.25%, ,否
,厲耿桂芳,3,女,1946,中國國民黨,15712,5.09%,*,是
,王欣儀,4,女,1970,中國國民黨,17595,5.70%,*,是
,陳錦祥,5,男,1959,中國國民黨,17165,5.56%,*,是
,丁增義,6,男,1959,無黨籍及未經政黨推薦,535,0.17%, ,否
,潘翰聲,7,男,1970,樹黨,8623,2.79%, ,否
,歐陽龍,8,男,1960,中國國民黨,27123,8.80%,*,是
,王閔生,9,男,1975,民主進步黨,22993,7.46%,*,否
,青天,10,男,1955,無黨籍及未經政黨推薦,541,0.17%, ,否
,何啟聖,11,男,1964,親民黨,8664,2.81%, ,否
,王致雅,12,女,1971,中國國民黨,14115,4.58%, ,否
,徐弘庭,13,男,1982,中國國民黨,15651,5.07%,*,否
,聶紹雄,14,男,1946,無黨籍及未經政黨推薦,395,0.12%, ,否
,周柏雅,15,男,1959,民主進步黨,17249,5.59%,*,是
,李慶鋒,16,男,1967,民主進步黨,20274,6.57%,*,是
,阮昭雄,17,男,1970,民主進步黨,20727,6.72%,*,是
,李新,18,男,1953,中國國民黨,22773,7.38%,*,是
,謝啟大,19,女,1949,無黨籍及未經政黨推薦,9665,3.13%, ,否
,歐陽瑞蓮,20,女,1976,台灣團結聯盟,5279,1.71%, ,否
,簡舒培,21,女,1977,民主進步黨,22672,7.35%,*,否
,李慶元,22,男,1958,中國國民黨,24348,7.90%,*,是
高雄市第01選區,劉馨正,1,男,1954,中國國民黨,14325,19.75%,*,否
,鍾惠美,2,女,1967,無黨籍及未經政黨推薦,13415,18.49%, ,否
,林富寶,3,男,1955,民主進步黨,16253,22.40%,*,是
,蕭育穎,4,女,1979,民主進步黨,13982,19.27%, ,否
,鍾盛有,5,男,1952,無黨籍及未經政黨推薦,14553,20.06%,*,是
高雄市第02選區,張文瑞,1,男,1950,民主進步黨,20236,24.86%,*,是
,陳明澤,2,男,1963,民主進步黨,22482,27.62%,*,是
,蘇琦莉,3,女,1977,中國國民黨,11701,14.37%, ,是
,李長生,4,男,1956,中國國民黨,26966,33.13%,*,是
高雄市第03選區,曾水文,1,男,1960,台灣團結聯盟,8824,6.58%, ,否
,陸淑美,2,女,1962,中國國民黨,17650,13.16%,*,是
,方信淵,3,男,1965,中國國民黨,17808,13.27%,*,是
,盧文峯,4,男,1959,無黨籍及未經政黨推薦,6699,4.99%, ,否
,陳政聞,5,男,1977,民主進步黨,22685,16.91%,*,是
,蔡金河,6,男,1955,中國國民黨,10318,7.69%, ,否
,高閔琳,7,女,1982,民主進步黨,26600,19.83%,*,否
,翁瑞珠,8,女,1950,民主進步黨,23519,17.53%,*,是
高雄市第04選區,李眉蓁,1,女,1979,中國國民黨,15533,8.82%,*,是
,林瑩蓉,2,女,1965,民主進步黨,27510,15.63%,*,是
,周鍾,3,男,1955,中國國民黨,13975,7.94%,*,是
,柳淑芳,4,女,1960,無黨籍及未經政黨推薦,706,0.40%, ,否
,藍星木,5,男,1948,中國國民黨,13685,7.77%, ,是
,黃石龍,6,男,1954,無黨團結聯盟,14103,8.01%,*,是
,張豐藤,7,男,1961,民主進步黨,15215,8.64%,*,是
,陳麗珍,8,女,1966,中國國民黨,21050,11.96%,*,是
,李柏毅,9,男,1977,民主進步黨,30571,17.37%,*,否
,陳玫娟,10,女,1962,中國國民黨,15980,9.08%,*,是
,何樹勳,11,男,1980,新黨,2493,1.41%, ,否
,黃若桓,12,男,1988,無黨籍及未經政黨推薦,5168,2.93%, ,否
高雄市第05選區,何堅心,1,男,1947,無黨籍及未經政黨推薦,3275,2.99%, ,否
,葉進國,2,男,1954,無黨籍及未經政黨推薦,10050,9.18%, ,否
,許慧玉,3,女,1967,中國國民黨,18436,16.84%,*,是
,林芳如,4,女,1968,民主進步黨,13691,12.50%,*,是
,張勝富,5,男,1972,民主進步黨,13755,12.56%,*,否
,吳利成,6,男,1969,中國國民黨,12494,11.41%, ,是
,王慧玲,7,女,1973,無黨籍及未經政黨推薦,6679,6.10%, ,否
,邱俊憲,8,男,1982,民主進步黨,15192,13.87%,*,否
,沈英章,9,男,1954,民主進步黨,15904,14.52%,*,否
高雄市第06選區,簡煥宗,1,男,1973,民主進步黨,18257,19.14%,*,否
,連立堅,2,男,1963,民主進步黨,14848,15.56%, ,是
,蔡金晏,3,男,1978,中國國民黨,17582,18.43%,*,是
,劉哲宇,4,男,1989,無黨籍及未經政黨推薦,3241,3.39%, ,否
,李喬如,5,女,1957,民主進步黨,17630,18.48%,*,是
,陳美雅,6,女,1970,中國國民黨,15819,16.58%,*,是
,陳冠銘,7,男,1977,台灣團結聯盟,6371,6.67%, ,否
,郭美伶,8,女,1971,無黨籍及未經政黨推薦,1635,1.71%, ,否
高雄市第07選區,鄭新助,1,男,1941,無黨籍及未經政黨推薦,14776,8.36%,*,是
,黃香菽,2,女,1981,中國國民黨,16801,9.51%,*,否
,梁益誌,3,男,1982,綠黨,7798,4.41%, ,否
,黃永富,4,男,1960,親民黨,3739,2.11%, ,否
,童燕珍,5,女,1953,中國國民黨,10643,6.02%, ,是
,林家慶,6,男,1980,無黨籍及未經政黨推薦,512,0.28%, ,否
,黃柏霖,7,男,1967,中國國民黨,21003,11.89%,*,是
,曾俊傑,8,男,1976,中國國民黨,14899,8.43%,*,是
,洪平朗,9,男,1955,民主進步黨,9719,5.50%, ,是
,張美瑛,10,女,1962,無黨籍及未經政黨推薦,544,0.30%, ,否
,林進興,11,男,1953,民主進步黨,8054,4.56%, ,否
,何權峰,12,男,1980,民主進步黨,20901,11.83%,*,否
,林武忠,13,男,1955,民主進步黨,16348,9.25%,*,是
,郭國志,14,男,1948,無黨籍及未經政黨推薦,1685,0.95%, ,否
,康裕成,15,女,1956,民主進步黨,17283,9.78%,*,是
,黃淑美,16,女,1959,台灣團結聯盟,11899,6.73%,*,是
高雄市第08選區,黃紹庭,1,男,1970,中國國民黨,14995,11.17%,*,否
,郭建盟,2,男,1970,民主進步黨,22770,16.97%,*,是
,吳益政,3,男,1963,親民黨,15910,11.86%,*,是
,許崑源,4,男,1957,中國國民黨,20366,15.18%,*,是
,王芳萍,5,女,1966,人民民主陣線,1233,0.91%, ,否
,蕭永達,6,男,1965,民主進步黨,15255,11.37%,*,是
,楊定國,7,男,1962,台灣團結聯盟,13363,9.96%, ,否
,周玲妏,8,女,1967,民主進步黨,21350,15.91%,*,是
,陳若翠,9,女,1969,中國國民黨,8894,6.63%, ,否
高雄市第09選區,楊承翰,1,男,1987,無黨籍及未經政黨推薦,8690,4.92%, ,否
,徐榮延,2,男,1949,無黨團結聯盟,10090,5.71%, ,是
,鄭復華,3,女,1962,親民黨,3659,2.07%, ,否
,羅鼎城,4,男,1976,民主進步黨,16870,9.55%,*,否
,陳慧芬,5,女,1970,台灣團結聯盟,1988,1.12%, ,否
,張漢忠,6,男,1953,民主進步黨,14269,8.08%,*,是
,蘇炎城,7,男,1952,民主進步黨,11577,6.55%, ,是
,李政憲,8,男,1956,無黨籍及未經政黨推薦,311,0.17%, ,否
,楊見福,9,男,1952,無黨籍及未經政黨推薦,13428,7.60%,*,否
,羅章福,10,男,1961,無黨籍及未經政黨推薦,218,0.12%, ,否
,陳慧文,11,女,1974,民主進步黨,20876,11.82%,*,是
,劉德林,12,男,1961,中國國民黨,15886,8.99%,*,是
,郭素桃,13,女,1957,無黨籍及未經政黨推薦,4158,2.35%, ,否
,林景元,14,男,1925,無黨籍及未經政黨推薦,807,0.45%, ,否
,陳粹鑾,15,女,1966,中國國民黨,13607,7.70%,*,是
,張育華,16,女,1964,人民民主陣線,1010,0.57%, ,否
,李雅靜,17,女,1977,中國國民黨,19200,10.87%,*,是
,顏曉菁,18,女,1974,民主進步黨,19874,11.25%,*,是
高雄市第10選區,王聖仁,1,男,1960,民主進步黨,14518,7.97%,*,否
,陳信瑜,2,女,1968,民主進步黨,20414,11.21%,*,是
,鄭光峰,3,男,1966,民主進步黨,16887,9.27%,*,是
,李順進,4,男,1958,無黨團結聯盟,18456,10.14%,*,是
,林宛蓉,5,女,1960,民主進步黨,20195,11.09%,*,是
,蔡武宏,6,男,1978,中國國民黨,11173,6.13%, ,否
,陳麗娜,7,女,1970,中國國民黨,21007,11.54%,*,是
,陳信諭,8,男,1988,無黨籍及未經政黨推薦,10178,5.59%, ,否
,蕭吉男,9,男,1976,台灣團結聯盟,2369,1.30%, ,否
,曾麗燕,10,女,1953,中國國民黨,22162,12.17%,*,是
,吳銘賜,11,男,1965,民主進步黨,24649,13.54%,*,否
高雄市第11選區,李雨庭,1,女,1973,民主進步黨,12222,12.39%,!,否
,洪秀錦,2,女,1961,中國國民黨,7835,7.94%, ,是
,徐瑀岑,3,女,1981,無黨籍及未經政黨推薦,7109,7.20%, ,否
,韓賜村,4,男,1959,民主進步黨,15044,15.25%,-,是
,黃天煌,5,男,1962,中國國民黨,15116,15.32%,*,是
,王耀裕,6,男,1961,中國國民黨,17743,17.98%,*,否
,蔡昌達,7,男,1970,民主進步黨,16763,16.99%,*,是
,張禾宜,8,女,1959,台灣團結聯盟,6811,6.90%, ,否
新北市第01選區,鄭戴麗香,1,女,1954,中國國民黨,18779,17.21%,*,是
,王鐘銘,2,男,1978,綠黨,6880,6.30%, ,否
,鄭宇恩,3,女,1986,民主進步黨,31928,29.26%,*,否
,蔡錦賢,4,男,1949,無黨籍及未經政黨推薦,20167,18.48%,*,是
,蔡葉偉,5,男,1954,中國國民黨,16421,15.05%,*,否
,呂子昌,6,男,1958,民主進步黨,14919,13.67%, ,是
新北市第02選區,蔡健棠,1,男,1963,中國國民黨,20218,6.62%, ,否
,宋明宗,2,男,1967,中國國民黨,24326,7.96%,*,是
,陳明義,3,男,1967,中國國民黨,20466,6.70%, ,是
,何淑峯,4,女,1967,民主進步黨,24987,8.18%,*,是
,賴秋媚,5,女,1963,民主進步黨,21927,7.18%,*,是
,董吉誠,6,男,1960,無黨籍及未經政黨推薦,1521,0.49%, ,否
,鍾宏仁,7,男,1957,民主進步黨,40858,13.38%,*,否
,張晉婷,8,女,1969,台灣團結聯盟,26625,8.72%,*,是
,黃林玲玲,9,女,1942,中國國民黨,25082,8.21%,*,是
,蔣根煌,10,男,1963,中國國民黨,22188,7.26%,*,是
,陳文治,11,男,1967,民主進步黨,20481,6.70%,*,是
,陳科名,12,男,1970,民主進步黨,27269,8.93%,*,是
,蔡淑君,13,女,1970,中國國民黨,29373,9.62%,*,是
新北市第03選區,李倩萍,1,女,1970,民主進步黨,28652,9.83%,*,是
,蕭榮騰,2,男,1968,人民最大黨,614,0.21%, ,否
,鄭金隆,3,男,1955,民主進步黨,20694,7.10%,*,是
,王詠沛,4,女,1964,親民黨,4337,1.48%, ,否
,黃桂蘭,5,女,1957,中國國民黨,19111,6.55%, ,是
,張宸浩,6,男,1980,新黨,2599,0.89%, ,否
,董俊良,7,男,1970,無黨籍及未經政黨推薦,556,0.19%, ,否
,胡淑蓉,8,女,1960,中國國民黨,15708,5.38%, ,是
,蔡明堂,9,男,1958,中國國民黨,25538,8.76%,*,否
,李翁月娥,10,女,1958,無黨籍及未經政黨推薦,20340,6.97%,*,是
,李丹鳳,11,女,1978,人民民主陣線,2603,0.89%, ,否
,鄭世維,12,男,1966,中國國民黨,14520,4.98%, ,否
,陳幸進,13,男,1943,中國國民黨,20819,7.14%,*,是
,蘇卿彥,14,男,1939,無黨籍及未經政黨推薦,312,0.10%, ,否
,李坤城,15,男,1973,民主進步黨,26809,9.19%,*,是
,李余典,16,男,1958,民主進步黨,26794,9.19%,*,是
,邱婷蔚,17,女,1980,民主進步黨,32511,11.15%,*,否
,陳啟能,18,男,1959,民主進步黨,24841,8.52%,*,是
,陳良安,19,男,1970,台灣團結聯盟,4076,1.39%, ,否
新北市第04選區,曾煥嘉,1,男,1976,中國國民黨,21807,7.96%,*,是
,周勝考,2,男,1956,中國國民黨,25921,9.46%,*,是
,廖裕德,3,男,1951,無黨籍及未經政黨推薦,19739,7.20%,*,是
,顏德民,4,男,1976,無黨籍及未經政黨推薦,1745,0.63%, ,否
,王淑慧,5,女,1955,民主進步黨,21866,7.98%,*,是
,黃俊哲,6,男,1978,民主進步黨,21625,7.89%,*,否
,林水山,7,男,1956,民主進步黨,14115,5.15%, ,是
,何博文,8,男,1973,民主進步黨,35304,12.89%,*,否
,林世棟,9,男,1957,親民黨,3385,1.23%, ,否
,林國春,10,男,1968,中國國民黨,28193,10.29%,*,是
,劉美芳,11,女,1978,中國國民黨,18343,6.69%,*,是
,王炳忠,12,男,1987,新黨,4299,1.56%, ,否
,張宏陸,13,男,1972,民主進步黨,21066,7.69%,*,是
,李婉鈺,14,女,1972,無黨籍及未經政黨推薦,15770,5.75%, ,是
,趙燕昭,15,男,1956,中國國民黨,13710,5.00%, ,否
,蕭貫譽,16,男,1956,台灣團結聯盟,6955,2.53%, ,否
新北市第05選區,陳錦錠,1,女,1954,中國國民黨,26290,12.78%,*,是
,江永昌,2,男,1969,民主進步黨,38503,18.72%,*,是
,林朝鑫,3,男,1960,無黨籍及未經政黨推薦,8788,4.27%, ,否
,戴德成,4,男,1962,新黨,13965,6.79%, ,否
,游輝宂,5,男,1983,無黨籍及未經政黨推薦,24703,12.01%,*,否
,林秀惠,6,女,1955,民主進步黨,21678,10.54%,*,是
,張瑞山,7,男,1955,民主進步黨,21768,10.58%,*,是
,金瑞龍,8,男,1969,中國國民黨,21159,10.29%, ,是
,邱烽堯,9,男,1973,中國國民黨,28764,13.98%,*,是
新北市第06選區,羅文崇,1,男,1964,民主進步黨,18015,16.85%,*,否
,陳鴻源,2,男,1967,中國國民黨,19967,18.68%,*,是
,許昭興,3,女,1971,民主進步黨,22411,20.96%,*,是
,蔡明璋,4,男,1965,新黨,3733,3.49%, ,否
,金介壽,5,男,1951,中國國民黨,17861,16.71%, ,是
,連斐璠,6,女,1959,中國國民黨,21700,20.30%,*,是
,莊育麟,7,男,1974,人民民主陣線,3188,2.98%, ,否
新北市第07選區,王明麗,1,女,1952,中國國民黨,15771,5.53%, ,是
,林銘仁,2,男,1960,民主進步黨,21388,7.50%,*,是
,林明正,3,男,1978,新黨,1792,0.62%, ,否
,吳琪銘,4,男,1963,民主進步黨,30103,10.56%,*,是
,林金結,5,男,1968,中國國民黨,18462,6.47%,*,否
,彭成龍,6,男,1956,民主進步黨,17195,6.03%,*,是
,李宜潔,7,女,1970,台灣團結聯盟,3432,1.20%, ,否
,陳世榮,8,男,1957,無黨籍及未經政黨推薦,22016,7.72%,*,是
,朱子孟,9,男,1962,中國國民黨,8770,3.07%, ,否
,羅友志,10,男,1972,無黨籍及未經政黨推薦,3695,1.29%, ,否
,黃永昌,11,男,1962,中國國民黨,18070,6.33%,*,是
,廖本煙,12,男,1956,民主進步黨,19699,6.91%,*,否
,歐金獅,13,男,1952,民主進步黨,14486,5.08%, ,是
,薛永華,14,男,1972,親民黨,7966,2.79%, ,否
,臧家宜,15,女,1974,無黨籍及未經政黨推薦,1329,0.46%, ,否
,楊木萬,16,男,1955,綠黨,7245,2.54%, ,否
,洪佳君,17,女,1977,中國國民黨,21934,7.69%,*,是
,朱彥華,18,男,1968,無黨籍及未經政黨推薦,6303,2.21%, ,否
,林富子,19,女,1969,中國國民黨,10845,3.80%, ,否
,高敏慧,20,女,1966,民主進步黨,15855,5.56%,*,是
,蘇有仁,21,男,1949,無黨籍及未經政黨推薦,18672,6.55%,*,否
新北市第08選區,王美月,1,女,1954,中國國民黨,14112,8.72%, ,否
,劉哲彰,2,男,1972,中國國民黨,26126,16.14%,*,是
,金中玉,3,男,1956,無黨籍及未經政黨推薦,28202,17.43%,*,是
,陳永福,4,男,1958,民主進步黨,32061,19.81%,*,是
,廖筱清,5,女,1956,民主進步黨,22880,14.14%,*,否
,邱九桁,6,男,1965,親民黨,6336,3.91%, ,否
,何孟哲,7,男,1984,新黨,7010,4.33%, ,否
,陳儀君,8,女,1973,中國國民黨,25063,15.49%,*,是
新北市第09選區,謝簡,1,男,1964,中華民主向日葵憲政改革聯盟,389,1.01%, ,否
,高天助,2,男,1963,無黨籍及未經政黨推薦,3975,10.38%, ,否
,林讚枝,3,男,1951,中國國民黨,5442,14.21%, ,否
,林裔綺,4,女,1968,民主進步黨,15984,41.75%,*,否
,吳清風,5,男,1980,無黨籍及未經政黨推薦,1806,4.71%, ,否
,廖秀雄,6,男,1944,無黨籍及未經政黨推薦,10684,27.91%, ,是
新北市第10選區,周雅玲,1,女,1968,民主進步黨,25503,23.55%,*,是
,李玉蘭,2,女,1972,無黨籍及未經政黨推薦,5505,5.08%, ,否
,黃瑞傳,3,男,1950,無黨籍及未經政黨推薦,2007,1.85%, ,否
,廖正良,4,男,1954,中國國民黨,22992,21.23%,*,是
,白珮茹,5,女,1975,中國國民黨,25743,23.77%,*,是
,沈發惠,6,男,1966,民主進步黨,26532,24.50%,*,是
臺中市第01選區,吳鶴鵬,1,男,1956,無黨籍及未經政黨推薦,5370,7.17%, ,否
